Date,Type,Details,Fatality
Jun-05,F-16C Block 30J,"The pilot tried to land the plane at Lamar Airport after some fire warnings went off in the cockpit. When the pilot, Julian Clay, realized he wouldn't be able to stop before hitting the end of the runway, he ejected, only suffering minor injuries. After the ejection the plane ran off the runway and split in two. This was the second ejection of this pilot, already ejecting from #86-0325.",0
Jan-08,F-16C Block 30J," 	
	
The aircraft crashed into the Gulf of Mexico west of Key West at about 19:30 hours local. The pilot, Major Peter S. Smith, ejected from the aircraft and was picked up by a Navy helicopter. The cause of the accident was spatial disorientation.",0
Jun-00,F-16C Block 40A," 	
	
Lost due to a bird strike over the Cold Lake Air Weapons Range, Alberta, Canada during a Maple Flag exercise. The pilot, Captain Richard Pietrykowski, ejected with injuries to his face, a 417 Squadron CH-146 '415' picked him up. A Pelican hit the canopy creating a large hole which is what injured the pilot. This aircraft was participating in an exercise. The largest piece that was left was the gun fairing. The rest of the F-16 was underground in the muskeg (unfrozen tundra). The only access to the crash site was via helicopter. The ejection seat had bird guts all over it and a hole where a bear had bitten through the seat while licking off the guts. The canopy had pieces with feathers actually sticking out of it. In detail the pilot was messed up with air bubbles in his skin which resulted in temporary blindness and hearing loss. The F-16 impacted a pelican at 2,000 AGL at about 700 knots. This clipped the helmet straps off and destroyed the HUD & glareshields. The pilot ejected almost immediately with no time to slow down. Probably larger pieces of the aircraft will surface as the years go by and the ground freezes and thaws.",0
Mar-89,F-16D Block 30F,"Lost at MacDill AFB, Florida. Crashed after a hard landing during a so-called simulated flameout approach (SFO). The aircraft hit the runway so hard that both main gear were ripped out. The aircrew got airborne again and it was decided to attempt an arrestor hook engagement. The aircraft missed the wire on the first attempt and set fire to the grass at that end of the runway. Emergency crews quickly put out the fire. During the second attempt it ran out of hydraulic fluid and the aircraft pitched up forcing the crew to eject. Aircraft then stalled and nosed over ending up off to the side of the end of the runway.",0
Oct-89,F-16D Block 32F," 	
	
Crashed at Carswell AFB, Texas while doing a mock airfield attack. Three B-52's on the ground were slightly damaged. Both crew were killed. The front seat pilot was Captain Rob 'Pork' Tucker. The pilot in the back seat of the plane, Captain J. Bourne, was a pilot from VMFA-112. He was on an incentive flight, his first time to fly in a F-16. After doing a low pass over the runway at 350 to 400 knots, they intended to do a 90 degree bank, but instead did a 180 degree aileron role. This in turn was a very high ""G"" maneuver in which they slammed into the ground . The investigation determined G-lock. The plane disintegrated on impact between the runway and taxiway.",1
Nov-96,F-16D Block 30H,"Crashed in heavy wooded area in south-central Ohio in the Brush Creek State Forest at 10:15 hours. Both crew, Captain Barry G. James and Captain Brian D. MacLeod ejected safely. The aircraft suffered an engine failure on a routine training mission from Springfield MAP.",0
Mar-07,F-16D Block 30H," 	
	
The aircraft crashed around 10:15 hours local about 35 miles east of Marathon, Florida. It was determined by the AIB that the crash was caused by pilot error. A speed that was too low with a shifting center of gravity forced the jet out of control. The pilot, Maj. Timothy B. Piccin, ejected safely.",0
Feb-97,F-16D Block 30J," 	
	
Crashed ten miles northeast of Wendover at 19:00 hours. Major Edward G. Goggins was the pilot and Captain Mark C. Snyder a passenger flight surgeon. One suffered a broken ankle and the other had burns. Because it was early evening there was a night recovery. Cause of crash found to be an engine flameout.",0
Dec-98,F-16D Block 30J," 	
	
Crashed 30 miles south of Fort Summer, New Mexico. The pilot, Lieutenant Colonel Randel Meyer, and the passenger, Senior Airman Hugo Serrano-Molina, both ejected safely, but with Hugo breaking his ankle. The aircraft was on an incentive flight as a reward for Hugo. The aircraft was based at Cannon AFB, New Mexico. Cause of the crash was engine failure. This F-16 had been involved in a collision on the runway on January 26th, 1994 at Wright Patterson AFB.",0
Jan-94,F-16D Block 30J," 	
	
Collided with F-16C (#87-0270) at Wright Patterson AFB, Ohio. This aircraft only sustained minor damage and was repaired and put back into service.",0
Jun-99,F-16D Block 42A," 	
	
A mechanical failure caused the crash of this Arizona ANG jet. The pilot, Timothy English, ejected south of Gila Bend, Arizona. The mishap occurred at about 9:20 hours.",0
Jan-99,F-16D Block 42A," 	
	
Crashed shortly after take-off from Luke AFB, Arizona. The pilot, Captain Julian Chestnut, and back seater, Captain Brian Egger, who was the instructor, ejected safely. One of the wing fuel tank external stores hit a pickup truck injuring the driver. The incident occurred at 13:00 hours and about one and a half miles north of the base.",0
Jun-92,F-16D Block 42A," 	
	
The mishap occurred near Luke AFB, Arizona during a night mission. The aircraft collided with the ground and the pilot; Lieutenant Colonel Edward Eugene Hackney, the Wing safety officer, never attempted to eject.",1
Jun-13,F-16D Block 42A," 	
	
The jet crashed near Luke AFB during a routine training flight due to a birdstrike. Both pilots ejected safely.",0
Apr-19,F-16D Block 40C," 	
	
Had an electrical failure and overran the runway at Roswell AP. Being trucked back to Holloman AB.",0
Jul-01,F-16D Block 42A," 	
	
Impacted the ground near Gila Bend, Arizona. Pilot, Major Robert P. Egan, ejected safely. Cause was fasteners came loose in the engine and caused a cascade effect which lead to the engine seizing and fire.",0
Jul-91,F-16D Block 40C," 	
	
Flew into the ground near Ely, Nevada at 22:25 hours with 1st Lt. Keith G. Nylander not ejecting. He flew straight into the ground during a two-ship LANTIRN test run.",1
Mar-94,F-16D Block 40D," 	
	
Collided with C-130E (68-10942) over Pope AFB, near Fayetteville, North Carolina. The damaged C-130 landed safely. The F-16 crashed into the cargo aircraft parking ramp, shortly after the crew ejected safely. The wreckage of the F-16 scattered across the ramp, hitting a C-141B (66-0173) getting ready to load paratroopers. The paratroopers were rigging in the grassy area behind the C-141. The C-141 caught fire which ignited the fuel tanks. Wreckage from the F-16 scattered through hundreds of fully rigged paratroopers. The C-141 was completely destroyed. By the 25th of the month 23 had people died and 80 were seriously injured. Both the C-130 and the F-16 were trying to land at the same time. The F-16 was above the C-130 and could not see it. They collided at 300 feet. The F-16 hit the tail of the C-130 which damaged the nose of the F-16. The pilot could not regain altitude and before he ejected made an attempt to guide the aircraft away from the parking ramp and buildings by engaging the afterburners. Pieces of the F-16 were found out the back gate of the base, over 1,000 feet away from point of impact. The cause of the mishap was a chain of errors by civilian and military air-traffic controllers. This is the worst F-16 accident to date.",0
Nov-02,F-16C Block 30K," 	
	
While flying over Utah salt flats, pilot was not aware of how close he was to the ground as there was a layer of very calm water, which made a mirror like image making it difficult to judge distance to the ground. Pilot, Lieutenant Colonel Dillon McFarland, was killed.",1
Aug-99,F-16C Block 30K," 	
	
Collided with another F-16C (86-0266) which crashed. It was about 18:15 hours when the collision occurred and the aircraft were returning from a live weapons training mission. The aircraft that was destroyed impacted near the southern end of Kunsan's runway. The pilot, Major Mark Moore, had ejected safely. Two five hundred pound mk.82 bombs were recovered, however a CBU-87 went missing. It is believed to have been just off shore from the wreckage. The aircraft which landed safely caused the accident by ignoring the calls from the other aircraft in the formation due to focusing too much on flying the aircraft. The aircraft was cleared to land, while the other had a take-off clearance. Damage to this aircraft was in the starboard wing and horizontal stabilizer.",0
Unknown,F-16C Block 30K," 	
	
Ran off the runway at Balad AB.",0
Apr-90,F-16C Block 30K," 	
	
The mishap occurred at Kunsan AB, Korea due to an augmentor fuel tube failure at the flange weld and a resulting fire in the engine bay. The pilot, Stephen R. Howell, ejected safely.",0
Mar-94,F-16C Block 30K," 	
	
During an IFE landing the aircraft experienced a missed barrier engagement and went off the end of the runway. Consequently the main gear collapsed, the engine ingested dirt and the aircraft broke apart. The pilot ejected and was rescued by the fire department as he landed in the center of the fire from escaping fuel. The aircraft was in SEC mode, which has a high idle thrust on GE engines. The aircraft was configured heavy and with that high idle thrust needed to engage the barrier.",0
Oct-98,F-16C Block 42B," 	
	
Crashed at about 13:00 hours, ten miles north of Luke AFB. The pilot, Lt.Col. James Bright, was on a routine air-to-air training mission and ejected safely. The crash was the result of a mid-air collision in which the other aircraft, F-16D #90-0730, landed safely. Cause of the mishap was error due to improper rejoin procedure.",0
Jun-03,F-16C Block 40B,"Collided on the ground with F-16C (88-0516) caused by a hydraulic failure. The incident happened at just before 8:00 am local time on the Zulu-1 taxiway of Al Udeid AB, Qatar. Initial unconfirmed reports indicate that a taxiing F-16 lost all hydraulic power and ran into a parked F-16 at about 10 knots. One maintenance troop on top of the parked F-16 was thrown or jumped off the F-16 and was slightly injured, abrasions to his back. Both F-16s were fully loaded with live ordnance, there were also 3 pieces of AGE equipment involved. After the impact, some sort of electrical short is suspected from one of the AIM-9 missiles, that possible ignited some of the fuel and started a fire in the motor of the AIM-9 and on a below mounted avionic pod. This fire was reportedly quit large and it was extinguished by another maintenance troop, possible saving 7 fully loaded F-16s! As the Fire Department arrived on scene there was light smoke but no fire. The rocket motor was still smoldering so about 200 gallons of water was used to cool them down. After it was determined that there we no lives at stake the area was evacuated. EOD made entry about 45 minutes later. They determined that a piece of AGE equipment that was lodged between the two aircraft would need to be stabilized with a crane during the download of the munitions. This effort totaled 6 hours and 33 minutes with the outside temperatures being between 110°F and 133°F during the emergency. EOD removed 4 damaged munitions and one that they were unsure of.",0
Jun-03,F-16C Block 40B," 	
	
Went down over Iraq at 6:30 hours southwest of Baghdad. The pilot ejected safely and was picked up by friendly ground forces. The only thing that was left of the aircraft were the tail and canopy. Cause of the crash was trapped fuel in the wing tanks due to a malfunction of an unknown reason. Further to this the fuel was not being monitored as the pilot was heading up to the tanker to get gas the engine flamed out.",0
Nov-95,F-16C Block 40B," 	
	
Crashed near the Dugway Proving Grounds, some 130 miles southwest of Hill AFB, Utah. The pilot, Captain Christopher Rappa, who was on a training mission ejected safely. The aircraft had just been transfered to the 4th FS from the 421st FS a few weeks earlier and new paint scheme applied. Cause of crash was simply a stall at 14,000 feet and aircraft pancaked onto the ground upside down. With no forward volocity at the time of impact, the crash site was little larger then the F-16 itself.",0
May-12,F-16C Block 40B," 	
	
Crashed at the Utah Test and Training Range around 8:35 hours local time during an exercise. The pilot ejected safely. Investigation showed that an engine blade broke free and damaged the entire engine.",0
Sep-11,F-16C Block 40B," 	
	
A storm hit Nellis AFB, Nevada on September 8, 2011 at just after 5pm causing a row of aircraft sunshelters to fall striking aircraft and injuring airman. In total eleven F-16s and two A-10s were damaged.",0
Sep-90,F-16C Block 40B," 	
	
While parked en route to Al Minhad AB for Desert Storm was struck on the tail by a taxiing C-130. The tip of the wing on the C-130 just managed to clip the tip of the tail on the F-16. Damage was heavy enough to put the aircraft out of commission for Desert Storm. When the aircraft returned to flyable status the war was over and the aircraft was assigned to the 34th TFS.",0
Oct-09,F-16C Block 40B," 	
	
Was hit on the rudder by a taxiing KC-135. The aircrew of the KC-135 didn't not follow commands of the crew chief at EOR and continued to taxi by, hitting the rudder on the middle static discharger. The aircraft was quickly fixed.",0
Dec-09,F-16C Block 40C,Made an emergency landing at 12:30 hours local at Fiumicino AP.,0
Dec-10,F-16C Block 40C,The aircraft departed the runway at Aviano AB during ground roll after a landing. Safety chains were used to slow the aircraft down before it left the runway. The nose gear colapsed in the soft grass. Flights were halted the rest of the day but resumed by the next day.,0
Nov-93,F-16C Block 42C," 	
	
The aircraft flew into teraain 17 miles southwest of Alamo, Nevada at 15:17 hours with the pilot, Captain John M. Barelka, didn't eject. Probable cause was G-excess effect.",1
Jan-98,F-16C Block 40C," 	
	
Had a mid-air collision at about 13:30 hours over Utah Test and Training Range, 105 miles from base. They were in six ship tactical intercept training sortie from Hill AFB. The lead aircraft collided with the wingman of the aggressor formation (#88-0537). The trailing wingman’s aircraft lost 40% of its right wing resulting in an uncontrollable spin. The aircraft crashed within the boundaries of the range. The pilot of this aircraft, Captain Paul Hertzberg, ejected with minor injuries. The other aircraft, an F-16C, suffered a gash in the wing and a lost missile and its rack. The pilot was Captain Scott Hufford, who was able to nurse the aircraft into Michael Army Air Field, Utah.",0
Nov-98,F-16C Block 40C," 	
	
Lost at 15:00 hours in the northern part of the Utah Test and Training Range, about 65 miles west of Hill AFB. The mishap occurred when the aircraft was performing basic fighter manoeuvres. Bad weather slowed search efforts, but is most likely not a factor as it would have been above the weather. The pilot, Major Gregory C. Martineac, did not eject, and was killed. The aircraft was found laying in four feet of mud. Crash probably caused by G-induced loss of consiousness.",1
Jun-03,F-16C Block 42C," 	
Lost at 16:50 hours at Barry M. Goldwater training range in Arizona. Captain David O'Malley ejected safely. It was suspected that it was a 4th Stage turbine failure from a manufacturing defect. All F-16's of this engine type were grounded as a result of this loss. A fault in the engine was found and remaining aircraft began flying once this part was replaced. Work was expected to be completed by March 2005. It is now required to inspect these fan blades periodically.",0
Mar-91,F-16C Block 40C," 	
	
Crashed in southwest Asia. The pilot, Captain Leonard S. Dick, ejected and was rescued. It was a postwar loss. The aircraft suffered a complete electrical fall-out getting out of control.",0
Aug-95,F-16C Block 42C," 	
	
Crashed 100 miles northwest of Luke AFB near Prescott, Arizona at 16:58 hours. The pilot, Captain Nathan Hill, ejected safely from his aircraft which was on a routine training mission. It suffered an engine failure.",0
Unknown,F-16C Block 42C,Compressor stall followed by a turbine shell out. The pilot failed to get the gear down and landed on the belly and did not eject as it wasn't needed.,0
Dec-02,F-16C Block 40C," 	
	
Mid-air collission with F-16C (89-2072). Both aircraft and their pilots returned safely to Hill AB. There was $ 1.7 million worth of damage to both aircraft.",0
Dec-90,F-16C Block 42C," 	
Crashed at Palmdale, California onto the ramp next to Plant 42 (were the B-2 was being manufactured). The pilot ejected safely. This was a so-called piddle pack accident were a buckle/flight control system interaction occured after a urination break. The pilot, Captain Craig Fisher, partially unstrapped at 27,000 feet to use the piddle pack and initiated the ejection at 1,500 feet after having to re-arm the ejection seat.",0
Aug-92,F-16C Block 40C,"Wrecked because of hurricane Andrew, nose wheel collapsed, radome ripped off, and holes in air planes skin. Repair was carried out by Ogden ALC with work being completed by August of 1993.",0
Sep-11,F-16C Block 40C," 	
	
A storm hit Nellis AFB, Nevada on September 8, 2011 at just after 5pm causing a row of aircraft sunshelters to fall striking aircraft and injuring airman. In total eleven F-16s including this one and two A-10s were damaged. Aircraft was quickly repaired.",0
Jan-92,F-16C Block 40C," 	
	
Crashed at the Utah Test and Training Range during a practice bombing run. This Desert Storm veteran was based at Hill AFB. The pilot, 1st Lt. Brett Kulkarni, was injured in the ejection. The aircraft was inadvertently entered IMC and then went into a steep dive from which the pilot was unable to recover.",0
Apr-98,F-16C Block 40C," 	
	
Crashed 70 miles southeast of Albuquerque, New Mexico at White Sands Missile Range while on a training mission. The pilot, 2nd Lt. Patrick J. 'Sherman' Potter, was killed in the mishap flying into terrain without ejecting.",1
Feb-95,F-16C Block 42C," 	
Collided with F-16D (83-1185) over Luke AFB, Arizona. Wreckage from the F-16 came down near the runway and within 300 feet of five F-15E's each loaded with four live Mk84's. SSgt. Owens and his crew rushed to unload the ordanance and safety the aircraft. The pilot, First Lieutenant Charles Durfree, ejected safely but broke both heels due to ejecting at such a low altitude with the parachute probably not opening entirely. Captains Barry Beckner and Ben Culp were flying the other aircraft and landed it safely. The other aircraft, was repaired and returned to active duty at Luke.",0
Jan-91,F-16C Block 40C," 	
	
The mishap occurred in the north-eastern part of Saudi Arabia at Night Camel West training area. Crashed killing the pilot, Captain Michael L. Chinburg, during a night training flight. It is believed to have been from spatial disorientation. Deployed for Desert Storm, but did not see any combat.",1
Sep-11,F-16C Block 40C," 	
A storm hit Nellis AFB, Nevada on September 8, 2011 at just after 5pm causing a row of aircraft sunshelters to fall striking aircraft and injuring airman. In total eleven F-16s including this one and two A-10s were damaged. Aircraft was quickly repaired.",0
Nov-15,F-16C Block 42C," 	
The aircraft went down around 08:45h local time near Salinas Peak, which is 45 miles northwest of Holloman AFB. The pilot ejected safely.",0
Sep-94,F-16C Block 40C," 	
	
Crashed at about 11:00 hours in a cornfield 12 miles away from Hill AFB, Utah. The aircraft was on a training mission on the Utah Test and Training Range. The pilot, Capt. Michael D. Goldfein, safely ejected and landed in the Great Salt Lake. He was rescued by a UH-1 from Hill’s 545th Test Group and released from hospital after examination. A faulty fan blade in the engine was the cause of the crash",0
Jan-91,F-16C Block 40C,"Sustained battle damage to the bottom of the intake. Repaired by SABCA and returned to the United States on January 22, 1992. The 4th TFS had already been changed to the 4th FS by this time.",0
Mar-99,F-16C Block 42C,"Suffered an engine failure which forced pilot, Captain Michael G. Rider, to eject. The aircraft crashed after about 20 minutes of flight at 8:40 hours, 22 miles southwest of Luke AFB, Arizona. All Luke AFB F-16's were subsequently grounded as the result of the crash until all engines could be inspected. Cracks were found in 63 other F-16 P&W; 220 engines augmentor ducts. Cracks in the afterburner resulted in an earlier F-16 crash on February 3, 1999. The aircraft was on a training mission with practice munitions.",0
Feb-91,F-16C Block 40C,"Probably an SA-8 exploded near the left external tank area. Fragments from the SAM hit the lower left side of the intake, including right through the intake. The left wing had a 2x3 inch hole and the main wing root had damage underneith. Stabilizers were peppered as well as the exhaust tail feathers. Part of the radome was also sheared off, but that damage was done during the crash landing at Rafha, Saudi Arabia when the nose gear would not extend. Major Ed 'Spot' Schumacher was a pilot who was visiting from the Fighter Weapons School and had deployed to Desert Storm with the 4th TFS. The aircraft returned to Hill AFB in a crate from Dahrain AB.",0
Feb-91,F-16C Block 40D,,0
Jan-13,F-16C Block 40D ," 	
	
The F-16 was part of a formation when it crashed in the Adriatic Sea between Cervia and Cesenatico around 19:00 hours local. The pilot, Capt. Lucas Gruenther, was sadly killed.",1
Feb-10,F-16C Block 40D," 	
	
The right main landing gear collapsed upon landing. An attached AGM-65 missile scraped the runway and the jet veered off the runway to the right.",0
Jun-03,F-16C Block 40D,Got hit on the ground by F-16C (88-0421) caused by a hydraulic failure of the other F-16. Cost to repair was $1.1 million and was conducted by the 649th CLSS over a period of two years once work started.,0
Mar-16,F-16C Block 40D," 	
	
Crashed right after take off from Bagram AB in Afghanistan at 20:30 local after suffering an engine failure. The pilot ejected safely.",0
Aug-98,F-16C Block 40D," 	
	
Crashed into the sea at 18:15 hours about one mile off the coast from Kangnung, South Korea. The aircraft was on a routine training flight. Pilot, Captain David W. Murphy, ejected safely. The aircraft suffered an engine burn through.",0
Feb-93,F-16C Block 40D ,"Crashed onto an island on Lake Sinclair, Georgia after an engine failure during a LANTIRN check mission. The pilot, 1st Lt. Ted D. Satcher, ejected safely.",0
Aug-90,F-16C Block 42D,The aircraft ran off the runway after an emergency landing. No-one was hurt.,0
Sep-07,F-16C Block 40D," 	
	
The aircraft crashed on a routine training sortie out of Aviano AB in the early evening near the mountains of Belluno. The pilot, Maj. Timothy Palmer, ejected safely.",0
Oct-01,F-16C Block 40D,"Went off the runway during takeoff roll at Hill AFB at 21:50 hours on a night training flight. The aircraft veered off the runway forcing the pilot to eject. Cause was a blown nose gear tire which resulted in loss of directional control. Pilot, Captain Casey J. Tidgewell, sustained only minor injuries. Damage to the aircraft was significant. Cause of the crash was a blown nose wheel which severed important wires and control was lost.",0
Jan-98,F-16C Block 40D," 	
	
Collided with F-16 (#88-0449) who suffered a gash in the wing and a lost missile and its rack. The pilot was Captain Scott Hufford, who was able to nurse the aircraft into Michael Army Air Field, Utah.",0
Nov-97,F-16C Block 40D,The F-16 landed nose-down when its nose landing gear wouldn't extend on approach. No-one got injured and the aircraft was swiftly repaired.,0
Aug-00,F-16C Block 42D," 	
	
Mid-air collision with another F-16C (90-0809) from the same squadron. The pilot, Major David Kossler, was forced to eject. His aircraft impacted the side of Mormon Mountain. While the other aircraft, piloted by Major Brandon Sweat, landed safely with minor damage. It was about 17:00 hours near Morman Mesa, which is 50 miles northeast of Nellis. The aircraft were part of a four ship formation. The aircraft that survived the collision was repaired and first noticed in service by August 2001 at Nellis AFB as a detachment from Eglin AFB",0
May-99,F-16C Block 40D,"Lost over Serbia near Nakucani during operation Allied Force due to engine failure, which was caused by a nearby SA-3 explosion. The pilot, Lt. Col. David Goldfein, ejected safely and was rescued by helicopter. The tail is on display in the Museum of Warplanes in Belgrade, Serbia.",0
Feb-95,F-16C Block 40E," 	
	
Crashed 70 miles southeast of Albuquerque, New Mexico at 13:00 hours. The aircraft suffered an aft retainer coming apart from the engine. The pilot, 1st Lieutenant Michael E. Holzer, Jr., ejected safely.",0
Dec-06,F-16C Block 40E," 	
	
During an engine run at the Aviano hush house the 5th stage ECS duct was improperly installed and fell off at MAX power. Aircraft was down for 8 months for depot level repair.",0
Oct-02,F-16C Block 40E,"Destroyed in a mid-air collision with F-16C (#89-2111). Capt. David Rosmann, ejected safely. The mishap was caused by the failure of both pilots to properly deconflict their flight paths during a tactical turn. Other contributing factors included: loss of situational awareness, misinterpretation of closure and visual cues, task misprioritization and channelization, and expectancy.",0
Apr-13,F-16C Block 42E," 	
	
Ran off the runway at Tulsa IAP. Damage is minimal and was repaired quickly.",0
Oct-14,F-16C Block 42E,"Lost in a crash in a field in Moline, Kansas around 14:00 local after a mid-air collision with F-16C 89-2034 which landed safely while the pilot of the crashed aircraft ejected with injuries.",0
Sep-90,F-16c Block 40E," 	
	
Hit the ground at 20:27 hours, twelve miles southwest of Allendale, South Carolina, killing the pilot, Lieutenant Colonel Barry Bost. During a nighttime mission he flew into terrain without ever ejecting.",1
Jun-17,F-16C Block 42E,"Caught fire during take off from Ellington Field and the pilot decided to eject, which he did safely.",0
Jun-07,F-16C Block 42E," 	
	
The aircraft was lost during a close-air-support mission over Iraq at 00.27h local time. Although a 125FS aircraft, the pilot was part of the 112th FS. The pilot, Lieutenant Colonel Kevin Sonnenberg, didn't eject and was consequently killed during the mishap. The cause of the crash was spatial disorientation.",1
Jun-95,F-16C Block 40E," 	
	
Captain Scott O'Grady's aircraft. While patrolling the no-fly zone over Bosnia, the aircraft was hit by an SA-6 Gainful SAM. The aircraft came down near the town of Banja Luka, Bosnia. Scott O'Grady was able to safely eject. However, O'Grady spent six days on the ground in enemy territory before being rescued by a Marine Corps CH-53 and support aircraft. Scott was picked up from near the town of Mrkonjic Grad. Scott O'Grady's story made headlines around the world, becoming a celebrity. He is one of the more well known F-16 pilots.",0
Oct-14,F-16C Block 42E," 	
	
This aircraft collided with F-16C 89-2019 causing it to crash. This aircraft managed to land safely after flying 100 miles with a large portion of right wing removed.",0
Jan-95,F-16C Block 40E," 	
	
Flew into the waters of the Adriatic Sea about 60 miles east of Camacchio, Italy at 08:40 killing the pilot Captain Mark 'Mac' P. McCarthy. The cause was pilot incapacitation which occurred for unknown reasons, but G-LOC is most probable.",1
Sep-11,F-16C Block 42E,"Storm hit Nellis AFB, Nevada on September 8, 2011 at just after 5pm causing a row of aircraft sunshelters to fall striking aircraft and injuring airman. In total eleven F-16s and two A-10s were damaged.",0
Jul-01,F-16C Block 40E," 	
	
While flying to an Operation Northern Watch mission an engine failure brought the aircraft down. Captain Michael A. Nelson Jr. ejected safely at 10:09 hours at 11 miles east of Batman, Turkey at 2,000 feet. Rescue was by a HH-60G from 305th RQS. The pilot heared a loud bang followed by a buzzing noise only 35 minutes after take-off. RPM decreased and FTIT increased. He attempted 9 airstarts without success. The cause of the crash was a failure of the number 4 bearing assembly.",0
May-03,F-16C Block 40E,"Crashed at the end of the runway after pilot ejected safely during takeoff at 20:06 hours at Osan AB, Korea. Two ducks were sucked into the intake and caused the crash. A woman driving her car just inside the main gate was injured as the debris crossed her path. Large portions of wreckage crossed the road inside the Doolittle gate and into an aircraft historic park.",0
Oct-94,F-16C Block 40F," 	
	
The aircraft suffered from a B system hydraulic failure with the landing gear failing. The pilot, Lt. Col. Tom Ardern, made a belly landing.",0
Oct-91,F-16C Block 42F," 	
	
Crashed at Nellis AFB Range, Nevada. The pilot, Captain Percival Taylor ""Teflon"" Gates, was killed in crash.",1
Apr-91,F-16C Block 40F," 	
	
Crashed during training sortie with the pilot, Captain William C. McGowan, ejected safely. The aircraft crashed 18 miles south east of Moody AFB (Haylow), Georgia.",0
Jun-01,F-16C Block 40F," 	
	
Lost forty miles southeast of Kunsan AB, Korea taking the life of pilot, First Lieutenant Randolph E. Murff. It is speculated the aircraft struck an electrical pole before impacting a rice paddy. Cause was later determined to be due to spatial disorientation. The aircraft ended up in an inverted steep dive that was not recoverable (13,000 feet, 460 knots, 59° nose low, 165° left bank). The pilot ejected out of the envelope (one second before impact).",1
Mar-98,F-16C Block 40F," 	
	
Veered off Hill AFB’s runway returning from a night surface attack at 20:20 hours. The pilot, Lt. Col. John Burgess, Jr, ejected with minor injuries. Cause of the crash was pilot error. On his approach for landing he failed to use proper decent control due to a step late left turn to line up with the runway.",0
May-15,F-16C Block 40F,"Departed the runway while landing at Bagram AB, Afghanistan on May 4, 2015. Pilot was uninjured and aircraft was easily repaired in theatre.",0
May-93,F-16C Block 40F," 	
	
Crashed near Eielson AFB, Alaska at 15:17 hours killing the pilot Capt. Luis F. Jordan during ACM with a British Tornado. Cause was lack of situational awareness during BFM. The pilot didn't eject.",1
Dec-02,F-16C Block 40F," 	
	
Mid-air collission with F-16C (88-0457). Both aircraft and their pilots returned safely to Hill AB. There was $ 1.7 million worth of damage to both aircraft.",0
Jan-96,F-16C Block 42F," 	
	
Crashed about 10 miles from Cannon AFB at Clovis, New Mexico while on route to Luke AFB, Arizona. The pilot, Col. Phil Lehman, ejected but suffered serious back injuries.",0
Sep-03,F-16C," 	
	
Crashed in the Yellow Sea near Kunsan AFB, South Korea. The pilot, capt. Kevin Dydyk, ejected and was rescued 90 minutes after the crash. Cause was determined as poor situational awareness of a low-altitude condition.",0
Oct-00,F-16C Block 42F," 	
	
Pilot ejected with minor injuries and the F-16 fell into a field near Atlanta, Kansas. Cause was found to be engine failure after one of the bearings assemblies failed. The engine shut down, causing the pilot to attempt a restart. After the wingman saw fire coming out of the engine, he called for him to eject.",0
Dec-91,F-16C Block 42F," 	
	
Crashed 2,5 miles southwest of Mullins, South Carolina at 17:17 hours enroute to conduct 1v1 night intercepts. It suffered a dual engine fuel resolver failure resulting in fuel starvation and engine stall / stagnation. Unsuccessful airstart and subsequent engine fire required the pilot, Capt David R. Rue, to eject. The ejection was successful with minor injuries to the pilot.",0
Dec-93,F-16C Block 42F,"The right main landing gear failed. This caused the aircraft to skid across runway, two taxi ways and the ramp coming to rest in front of the port authority fire department building. There were no injuries.",0
Jul-96,F-16C Block 40F,"Suffered a Class A mishap, but is surprisingly considered repairable, but most likely will not be repaired. It was written-off at Kirtland AFB, New Mexico. The aircraft was the 3rd out of a 4-ship to take off, but it had no rotation of the stabs and subsequently the nose did not rise. The runway barrier did not raise in time and the aircraft went off the runway. The pilot, Captain Peter H. Parsons, ejected safely. Pilot had not taken into account Kirtland's high altitude and tried to rotate for take-off too early. There was suspicions of under-serviced nose strut contributing to crash but this was disputed due to the fact that the aircraft still should have rotated and numerous other Moody aircraft had improperly serviced struts and why didn't they have the same problems.",0
Feb-00,F-16C Block 42F," 	
Major Anthony Barrell had problems with his aircraft so diverted to Gila Bend, but did not make it. He ejected at about 12:10 hours. All Luke F-16's were grounded as a result.",0
Apr-97,F-16C Block 40F," 	
	
Crashed as the result of an engine flameout at a low altitude. The air plane crashed in the southern portion of Georgia, seven miles southwest of Pearson. A malfunction in the main engine control component caused the flame-out. Aircraft was nicknamed Satan and spent a lot of time code 3. The pilot, 1st Lt. Joseph C. Thomas, ejected safely.",0
Mar-06,F-16C Block 40F," 	
	
Lost at sea around 09:30 hours twenty miles off the coast of Kunsan AB, Korea. Pilot was Capt. Donald Siegmund, of the 35th Fighter Squadron ejected safely and returned to base shortly after. He spent about 55 minutes in the water before a South Korean air force rescue helicopter dispatched to the scene found and lifted him to safety.",0
Aug-96,F-16C Block 40F," 	
	
Crashed near Dhahran, Saudi Arabia. The crash was caused by an engine flame-out during take-off. The pilot, Capt. Charles A. Durfee, ejected safely.",0
Mar-09,F-16C Block 40F,Suffered an in-flight emergency which led to the pilot deciding to drop the external tanks which landed in a local village. The aircraft landed safely at Aviano AB.,0
